Time (s),Pressure (Pa),Depth (m)
0.00,69949.11,0.00
0.25,69948.14,0.00
0.50,69949.56,0.00
0.75,69948.64,0.00
1.00,69949.20,0.00
1.25,69949.58,0.00
1.50,69951.00,0.00
1.75,69950.72,0.00
2.00,69949.48,0.00
2.25,69948.16,0.00
2.50,69946.83,0.00
2.75,69946.64,0.00
3.00,69947.88,0.00
3.25,69950.81,0.00
3.50,69950.06,0.00
3.75,69949.48,0.00
4.00,69948.92,0.00
4.25,69945.21,0.00
4.50,69947.99,0.00
4.75,69946.47,0.00
5.00,69946.84,0.00
5.25,69949.20,0.00
5.50,69944.57,0.00
5.75,69949.22,0.00
6.00,69950.82,0.00
6.25,69950.81,0.00
6.50,69949.03,0.00
6.75,69946.84,0.00
7.00,69945.51,0.00
7.25,69945.42,0.00
7.50,69944.67,0.00
7.75,69946.09,0.00
8.00,69947.13,0.00
8.25,69951.39,0.00
8.50,69957.65,0.00
8.75,69967.16,0.00
9.00,69978.05,0.00
9.25,69987.81,0.00
9.50,69995.20,0.00
9.75,70004.03,0.00
10.00,70002.42,0.00
10.25,70004.59,0.00
10.50,70000.51,0.00
10.75,69999.95,0.00
11.00,69999.76,0.00
11.25,69993.33,0.00
11.50,69995.68,0.00
11.75,69993.33,0.00
12.00,69995.39,0.00
12.25,69991.80,0.00
12.50,69991.24,0.00
12.75,69991.89,0.00
13.00,69992.94,0.00
13.25,69993.03,0.00
13.50,69994.84,0.00
13.75,69992.45,0.00
14.00,69994.17,0.00
14.25,69992.28,0.00
14.50,69992.55,0.00
14.75,69994.93,0.00
15.00,69996.53,0.00
15.25,69994.37,0.00
15.50,69995.68,0.00
15.75,69995.50,0.00
16.00,69995.03,0.00
16.25,69997.02,0.00
16.50,69995.79,0.00
16.75,69996.55,0.00
17.00,69995.31,0.00
17.25,69996.08,0.00
17.50,69996.08,0.00
17.75,69995.40,0.00
18.00,69995.89,0.00
18.25,69994.47,0.00
18.50,69995.61,0.00
18.75,69993.98,0.00
19.00,69994.47,0.00
19.25,69995.21,0.00
19.50,69993.51,0.00
19.75,69994.93,0.00
20.00,69995.40,0.00
20.25,69994.17,0.00
20.50,69994.36,0.00
20.75,69990.58,0.00
21.00,69985.45,0.00
21.25,69981.48,0.00
21.50,69977.11,0.00
21.75,69968.30,0.00
22.00,69962.22,0.00
22.25,69952.26,0.00
22.50,69947.24,0.00
22.75,69937.95,0.00
23.00,69935.77,0.00
23.25,69940.89,0.00
23.50,69942.59,0.00
23.75,69946.20,0.00
24.00,69945.62,0.00
24.25,69946.95,0.00
24.50,69945.62,0.00
24.75,69938.06,0.00
25.00,69938.43,0.00
25.25,69938.98,0.00
25.50,69938.53,0.00
25.75,69942.70,0.00
26.00,69942.03,0.00
26.25,69939.58,0.00
26.50,69938.15,0.00
26.75,69939.18,0.00
27.00,69937.76,0.00
27.25,69948.95,0.00
27.50,69951.51,0.00
27.75,69956.36,0.00
28.00,69957.95,0.00
28.25,69957.39,0.00
28.50,69957.50,0.00
28.75,69956.36,0.00
29.00,69954.75,0.00
29.25,69952.09,0.00
29.50,69951.81,0.00
29.75,69949.90,0.00
30.00,69946.97,0.00
30.25,69947.53,0.00
30.50,69942.89,0.00
30.75,69942.33,0.00
31.00,69939.28,0.00
31.25,69941.19,0.00
31.50,69936.16,0.00
31.75,69937.58,0.00
32.00,69938.34,0.00
32.25,69937.39,0.00
32.50,69936.44,0.00
32.75,69935.11,0.00
33.00,69935.59,0.00
33.25,69936.73,0.00
33.50,69937.39,0.00
33.75,69936.44,0.00
34.00,69935.59,0.00
34.25,69937.20,0.00
34.50,69934.36,0.00
34.75,69935.59,0.00
35.00,69934.74,0.00
35.25,69934.36,0.00
35.50,69934.92,0.00
35.75,69938.90,0.00
36.00,69942.61,0.00
36.25,69945.17,0.00
36.50,69948.30,0.00
36.75,69952.66,0.00
37.00,69955.31,0.00
37.25,69963.29,0.00
37.50,69968.70,0.00
37.75,69974.37,0.00
38.00,69976.45,0.00
38.25,69981.67,0.00
38.50,69987.26,0.00
38.75,69988.42,0.00
39.00,69989.94,0.00
39.25,69990.99,0.00
39.50,69989.45,0.00
39.75,69983.87,0.00
40.00,69982.25,0.00
40.25,69981.20,0.00
40.50,69980.55,0.00
40.75,69981.40,0.00
41.00,69981.29,0.00
41.25,69983.95,0.00
41.50,69981.22,0.00
41.75,69983.01,0.00
42.00,69986.14,0.00
42.25,69982.82,0.00
42.50,69984.42,0.00
42.75,69984.44,0.00
