timestamp,pitch_deg,error_deg,p_term,i_term,d_term,pid_output,motor3_pwm,motor4_pwm
1.060,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.060,-4.958,4.958,0.000,0.000,0.000,0.000,1500,1500
1.070,-4.958,4.958,30.284,0.002,858.339,400.000,1495,1495
1.080,-4.958,4.958,30.284,0.003,0.000,30.288,1495,1495
1.090,-4.958,4.958,30.284,0.005,0.000,30.289,1495,1495
1.100,-4.958,4.958,30.284,0.007,0.000,30.291,1495,1495
1.110,-4.958,4.958,30.284,0.009,0.000,30.293,1495,1495
1.120,-4.958,4.958,30.284,0.010,0.000,30.295,1495,1495
1.130,-4.958,4.958,30.284,0.012,0.000,30.296,1495,1495
1.140,-4.958,4.958,30.284,0.014,0.000,30.298,1495,1495
1.150,-4.958,4.958,30.284,0.016,0.000,30.300,1495,1495
1.160,-4.958,4.958,30.284,0.017,0.000,30.302,1495,1495
1.170,-4.958,4.958,30.284,0.019,0.000,30.303,1495,1495
1.180,-4.958,4.958,30.284,0.021,0.000,30.305,1495,1495
1.190,-4.958,4.958,30.284,0.023,0.000,30.307,1495,1495
1.200,-4.985,4.985,30.452,0.024,4.793,35.269,1490,1490
1.210,-4.985,4.985,30.452,0.026,0.000,30.478,1490,1490
1.220,-4.985,4.985,30.452,0.028,0.000,30.480,1490,1490
1.230,-4.985,4.985,30.452,0.029,0.000,30.481,1490,1490
1.240,-4.985,4.985,30.452,0.031,0.000,30.483,1490,1490
1.250,-4.985,4.985,30.452,0.033,0.000,30.485,1490,1490
1.260,-4.985,4.985,30.452,0.035,0.000,30.487,1490,1490
1.270,-4.985,4.985,30.452,0.036,0.000,30.488,1490,1490
1.280,-4.985,4.985,30.452,0.038,0.000,30.490,1490,1490
1.290,-4.985,4.985,30.452,0.040,0.000,30.492,1490,1490
1.300,-4.985,4.985,30.452,0.042,0.000,30.494,1490,1490
1.310,-4.985,4.985,30.452,0.043,0.000,30.495,1490,1490
1.320,-4.985,4.985,30.452,0.045,0.000,30.497,1490,1490
1.330,-4.985,4.985,30.452,0.047,0.000,30.499,1490,1490
1.340,-4.985,4.985,30.452,0.049,0.000,30.501,1490,1490
1.350,-4.985,4.985,30.452,0.050,0.000,30.502,1490,1490
1.360,-4.985,4.985,30.452,0.052,0.000,30.504,1490,1490
1.370,-4.985,4.985,30.452,0.054,0.000,30.506,1490,1490
1.380,-4.985,4.985,30.452,0.056,0.000,30.508,1490,1490
