timestamp,pitch_deg,pitch_error_deg,pitch_p,pitch_i,pitch_d,pitch_output,altitude,altitude_error,altitude_p,altitude_i,altitude_d,altitude_output,motor3_pwm,motor4_pwm
1.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,1500,1500
1.060,-13.226,13.226,0.000,0.000,0.000,0.000,0.109,0.091,74.620,0.000,1417.211,400.000,1497,1497
1.070,-13.226,13.226,50.786,0.000,22.901,73.687,0.109,0.091,74.620,0.001,0.000,74.621,1499,1494
1.080,-13.226,13.226,50.786,0.000,0.000,50.786,0.109,0.091,74.620,0.002,0.000,74.622,1501,1491
1.090,-13.226,13.226,50.786,0.001,0.000,50.787,0.109,0.091,74.620,0.003,0.000,74.623,1503,1488
1.100,-13.226,13.226,50.786,0.001,0.000,50.787,0.109,0.091,74.620,0.004,0.000,74.624,1505,1485
1.110,-13.226,13.226,50.786,0.001,0.000,50.787,0.109,0.091,74.620,0.005,0.000,74.625,1505,1482
1.120,-13.226,13.226,50.786,0.001,0.000,50.787,0.109,0.091,74.620,0.005,0.000,74.625,1505,1479
1.130,-13.226,13.226,50.786,0.002,0.000,50.787,0.109,0.091,74.620,0.006,0.000,74.626,1505,1476
1.140,-13.226,13.226,50.786,0.002,0.000,50.788,0.109,0.091,74.620,0.007,0.000,74.627,1505,1473
1.150,-13.226,13.226,50.786,0.002,0.000,50.788,0.109,0.091,74.620,0.008,0.000,74.628,1505,1470
1.160,-13.226,13.226,50.786,0.002,0.000,50.788,0.109,0.091,74.620,0.009,0.000,74.629,1505,1467
1.170,-13.226,13.226,50.786,0.003,0.000,50.788,0.109,0.091,74.620,0.010,0.000,74.630,1505,1464
1.180,-13.226,13.226,50.786,0.003,0.000,50.789,0.109,0.091,74.620,0.011,0.000,74.631,1505,1461
1.190,-13.226,13.226,50.786,0.003,0.000,50.789,0.109,0.091,74.620,0.012,0.000,74.632,1505,1458
1.200,-13.226,13.226,50.786,0.003,0.000,50.789,0.109,0.091,74.620,0.013,0.000,74.633,1505,1455
1.210,-13.226,13.226,50.786,0.003,0.000,50.789,0.109,0.091,74.620,0.014,0.000,74.634,1505,1452
1.220,-13.226,13.226,50.786,0.004,0.000,50.790,0.109,0.091,74.620,0.015,0.000,74.635,1505,1449
1.230,-13.226,13.226,50.786,0.004,0.000,50.790,0.109,0.091,74.620,0.016,0.000,74.636,1505,1446
1.240,-13.226,13.226,50.786,0.004,0.000,50.790,0.109,0.091,74.620,0.016,0.000,74.636,1505,1443
1.250,-13.222,13.222,50.768,0.004,-0.008,50.765,0.105,0.095,77.900,0.017,2.001,79.919,1502,1440
1.260,-13.222,13.222,50.768,0.005,0.000,50.773,0.105,0.095,77.900,0.018,0.000,77.918,1502,1437
1.270,-13.222,13.222,50.768,0.005,0.000,50.773,0.105,0.095,77.900,0.019,0.000,77.919,1502,1434
1.280,-13.222,13.222,50.768,0.005,0.000,50.774,0.105,0.095,77.900,0.020,0.000,77.920,1502,1431
1.290,-13.222,13.222,50.768,0.005,0.000,50.774,0.105,0.095,77.900,0.021,0.000,77.921,1502,1428
1.300,-13.222,13.222,50.768,0.006,0.000,50.774,0.105,0.095,77.900,0.022,0.000,77.922,1502,1425
1.310,-13.222,13.222,50.768,0.006,0.000,50.774,0.105,0.095,77.900,0.023,0.000,77.923,1502,1422
1.320,-13.222,13.222,50.768,0.006,0.000,50.774,0.105,0.095,77.900,0.024,0.000,77.924,1502,1419
1.330,-13.222,13.222,50.768,0.006,0.000,50.775,0.105,0.095,77.900,0.025,0.000,77.925,1502,1416
1.340,-13.222,13.222,50.768,0.006,0.000,50.775,0.105,0.095,77.900,0.026,0.000,77.926,1502,1413
1.350,-13.222,13.222,50.768,0.007,0.000,50.775,0.105,0.095,77.900,0.027,0.000,77.927,1502,1410
1.360,-13.222,13.222,50.768,0.007,0.000,50.775,0.105,0.095,77.900,0.028,0.000,77.928,1502,1407
1.370,-13.222,13.222,50.768,0.007,0.000,50.776,0.105,0.095,77.900,0.029,0.000,77.929,1502,1404
1.380,-13.222,13.222,50.768,0.007,0.000,50.776,0.105,0.095,77.900,0.030,0.000,77.930,1502,1401
1.390,-13.222,13.222,50.768,0.008,0.000,50.776,0.105,0.095,77.900,0.031,0.000,77.931,1502,1398
1.400,-13.222,13.222,50.768,0.008,0.000,50.776,0.105,0.095,77.900,0.032,0.000,77.932,1502,1395
1.410,-13.222,13.222,50.768,0.008,0.000,50.777,0.105,0.095,77.900,0.033,0.000,77.933,1502,1392
1.420,-13.222,13.222,50.768,0.008,0.000,50.777,0.105,0.095,77.900,0.034,0.000,77.934,1502,1389
1.430,-13.222,13.222,50.768,0.009,0.000,50.777,0.105,0.095,77.900,0.034,0.000,77.934,1502,1386
1.440,-13.222,13.222,50.768,0.009,0.000,50.777,0.105,0.095,77.900,0.035,0.000,77.935,1502,1383
