时间戳,pitch角度,误差,目标角速率,实际角速率,积分项,输出值,电机3PWM,电机4PWM
1.023,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.023,-7.912,7.912,0.000,0.000,0.000,-0.000,1500,1500
1.033,-7.912,7.912,0.000,0.000,0.000,-0.008,1500,1500
1.043,-7.912,7.912,0.000,0.000,0.000,-0.016,1500,1500
1.053,-7.912,7.912,0.000,0.000,0.000,-0.024,1500,1500
1.063,-7.912,7.912,0.000,0.000,0.000,-0.032,1500,1500
1.073,-7.912,7.912,0.000,0.000,0.000,-0.040,1500,1500
1.083,-7.912,7.912,0.000,0.000,0.000,-0.047,1500,1500
1.093,-7.912,7.912,0.000,0.000,0.000,-0.055,1500,1500
1.103,-7.823,7.823,0.000,0.000,0.000,-0.063,1500,1500
1.113,-7.823,7.823,0.000,0.000,0.000,-0.071,1500,1500
1.123,-7.823,7.823,0.000,0.000,0.000,-0.072,1500,1500
1.133,-7.823,7.823,0.000,0.000,0.000,-0.064,1500,1500
1.143,-7.823,7.823,0.000,0.000,0.000,-0.056,1500,1500
1.153,-7.823,7.823,0.000,0.000,0.000,-0.049,1500,1500
1.163,-7.823,7.823,0.000,0.000,0.000,-0.041,1500,1500
1.173,-7.823,7.823,0.000,0.000,0.000,-0.033,1500,1500
1.183,-7.823,7.823,0.000,0.000,0.000,-0.025,1500,1500
1.193,-7.823,7.823,0.000,0.000,0.000,-0.017,1500,1500
1.203,-7.823,7.823,0.000,0.000,0.000,-0.009,1500,1500
1.213,-7.823,7.823,0.000,0.000,0.000,-0.001,1500,1500
1.223,-7.823,7.823,0.000,0.000,0.000,0.006,1499,1499
1.233,-7.823,7.823,0.000,0.000,0.000,0.014,1499,1499
1.243,-7.823,7.823,0.000,0.000,0.000,0.022,1499,1499
1.253,-7.823,7.823,0.000,0.000,0.000,0.030,1499,1499
1.263,-7.823,7.823,0.000,0.000,0.000,0.038,1499,1499
1.273,-7.823,7.823,0.000,0.000,0.000,0.046,1499,1499
1.283,-7.823,7.823,0.000,0.000,0.000,0.054,1499,1499
1.293,-7.823,7.823,0.000,0.000,0.000,0.061,1499,1499
1.303,-7.823,7.823,0.000,0.000,0.000,0.069,1499,1499
1.313,-7.823,7.823,0.000,0.000,0.000,0.077,1499,1499
1.323,-7.823,7.823,0.000,0.000,0.000,0.085,1499,1499
1.333,-7.823,7.823,0.000,0.000,0.000,0.093,1499,1499
1.343,-7.823,7.823,0.000,0.000,0.000,0.101,1499,1499
1.353,-7.868,7.868,0.000,0.000,0.000,0.109,1499,1499
1.363,-7.868,7.868,0.000,0.000,0.000,0.116,1499,1499
1.373,-7.868,7.868,0.000,0.000,0.000,0.124,1499,1499
