timestamp,pitch_deg,pitch_error_deg,pitch_p,pitch_i,pitch_d,pitch_output,altitude,altitude_error,altitude_p,altitude_i,altitude_d,altitude_output,motor3_pwm,motor4_pwm
1.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,1500,1500
1.108,-12.205,12.205,0.000,0.000,0.000,0.000,0.102,0.098,21.560,0.000,1401.241,400.000,1497,1497
1.118,-12.205,12.205,25.563,0.000,21.139,46.702,0.102,0.098,21.560,0.001,0.000,21.561,1499,1494
1.128,-12.205,12.205,25.563,0.000,0.000,25.563,0.102,0.098,21.560,0.002,0.000,21.562,1501,1491
1.138,-12.205,12.205,25.563,0.001,0.000,25.564,0.102,0.098,21.560,0.003,0.000,21.563,1503,1488
1.148,-12.205,12.205,25.563,0.001,0.000,25.564,0.102,0.098,21.560,0.004,0.000,21.564,1505,1485
1.158,-12.205,12.205,25.563,0.001,0.000,25.564,0.102,0.098,21.560,0.005,0.000,21.565,1507,1482
1.168,-12.205,12.205,25.563,0.001,0.000,25.564,0.102,0.098,21.560,0.006,0.000,21.566,1509,1479
1.178,-12.291,12.291,25.743,0.001,0.150,25.895,0.099,0.101,22.220,0.007,1.500,23.727,1511,1476
1.188,-12.291,12.291,25.743,0.002,0.000,25.745,0.099,0.101,22.220,0.008,0.000,22.228,1513,1473
1.198,-12.291,12.291,25.743,0.002,0.000,25.745,0.099,0.101,22.220,0.009,0.000,22.229,1515,1470
1.208,-12.291,12.291,25.743,0.002,0.000,25.745,0.099,0.101,22.220,0.010,0.000,22.230,1517,1467
1.218,-12.291,12.291,25.743,0.002,0.000,25.745,0.099,0.101,22.220,0.011,0.000,22.231,1519,1464
1.228,-12.291,12.291,25.743,0.003,0.000,25.746,0.099,0.101,22.220,0.012,0.000,22.232,1521,1461
1.238,-12.291,12.291,25.743,0.003,0.000,25.746,0.099,0.101,22.220,0.013,0.000,22.233,1523,1458
1.248,-12.291,12.291,25.743,0.003,0.000,25.746,0.099,0.101,22.220,0.014,0.000,22.234,1525,1455
1.258,-12.291,12.291,25.743,0.003,0.000,25.746,0.099,0.101,22.220,0.015,0.000,22.235,1527,1452
1.268,-12.291,12.291,25.743,0.003,0.000,25.747,0.099,0.101,22.220,0.016,0.000,22.236,1529,1449
1.278,-12.291,12.291,25.743,0.004,0.000,25.747,0.099,0.101,22.220,0.017,0.000,22.237,1531,1446
1.288,-12.291,12.291,25.743,0.004,0.000,25.747,0.099,0.101,22.220,0.018,0.000,22.238,1532,1443
1.298,-12.291,12.291,25.743,0.004,0.000,25.747,0.099,0.101,22.220,0.019,0.000,22.239,1532,1440
1.308,-12.291,12.291,25.743,0.004,0.000,25.747,0.099,0.101,22.220,0.020,0.000,22.240,1532,1437
1.318,-12.291,12.291,25.743,0.004,0.000,25.748,0.099,0.101,22.220,0.021,0.000,22.241,1532,1434
1.328,-12.291,12.291,25.743,0.005,0.000,25.748,0.099,0.101,22.220,0.022,0.000,22.242,1532,1431
1.338,-12.291,12.291,25.743,0.005,0.000,25.748,0.099,0.101,22.220,0.023,0.000,22.243,1532,1428
1.348,-12.291,12.291,25.743,0.005,0.000,25.748,0.099,0.101,22.220,0.024,0.000,22.244,1532,1425
1.358,-12.291,12.291,25.743,0.005,0.000,25.748,0.099,0.101,22.220,0.025,0.000,22.245,1532,1422
1.368,-12.291,12.291,25.743,0.006,0.000,25.749,0.099,0.101,22.220,0.026,0.000,22.246,1532,1422
1.378,-12.291,12.291,25.743,0.006,0.000,25.749,0.099,0.101,22.220,0.027,0.000,22.247,1532,1422
1.388,-12.291,12.291,25.743,0.006,0.000,25.749,0.099,0.101,22.220,0.028,0.000,22.248,1532,1422
1.398,-12.291,12.291,25.743,0.006,0.000,25.749,0.099,0.101,22.220,0.029,0.000,22.249,1532,1422
1.408,-12.291,12.291,25.743,0.006,0.000,25.750,0.099,0.101,22.220,0.030,0.000,22.250,1532,1422
1.418,-12.291,12.291,25.743,0.007,0.000,25.750,0.099,0.101,22.220,0.031,0.000,22.251,1532,1422
1.428,-11.925,11.925,24.976,0.007,-0.640,24.344,0.099,0.101,22.220,0.032,0.000,22.252,1531,1423
1.438,-11.925,11.925,24.976,0.007,0.000,24.983,0.099,0.101,22.220,0.033,0.000,22.253,1531,1423
1.448,-11.925,11.925,24.976,0.007,0.000,24.983,0.099,0.101,22.220,0.034,0.000,22.254,1531,1423
1.458,-11.925,11.925,24.976,0.007,0.000,24.984,0.099,0.101,22.220,0.035,0.000,22.255,1531,1423
1.468,-11.925,11.925,24.976,0.008,0.000,24.984,0.099,0.101,22.220,0.036,0.000,22.256,1531,1423
1.478,-11.925,11.925,24.976,0.008,0.000,24.984,0.099,0.101,22.220,0.037,0.000,22.257,1531,1423
1.488,-11.925,11.925,24.976,0.008,0.000,24.984,0.099,0.101,22.220,0.038,0.000,22.258,1531,1423
1.498,-11.925,11.925,24.976,0.008,0.000,24.985,0.099,0.101,22.220,0.039,0.000,22.259,1531,1423
1.508,-11.925,11.925,24.976,0.009,0.000,24.985,0.099,0.101,22.220,0.040,0.000,22.260,1531,1423
1.518,-11.925,11.925,24.976,0.009,0.000,24.985,0.099,0.101,22.220,0.041,0.000,22.261,1531,1423
1.528,-11.925,11.925,24.976,0.009,0.000,24.985,0.099,0.101,22.220,0.042,0.000,22.262,1531,1423
1.538,-11.925,11.925,24.976,0.009,0.000,24.985,0.099,0.101,22.220,0.043,0.000,22.263,1531,1423
1.548,-11.925,11.925,24.976,0.009,0.000,24.986,0.099,0.101,22.220,0.044,0.000,22.264,1531,1423
1.558,-11.925,11.925,24.976,0.010,0.000,24.986,0.099,0.101,22.220,0.045,0.000,22.265,1531,1423
1.568,-11.925,11.925,24.976,0.010,0.000,24.986,0.099,0.101,22.220,0.046,0.000,22.266,1531,1423
