timestamp,altitude,altitude_error,velocity_z,accel_z,pos_p,pos_i,pos_d,vel_p,vel_i,vel_d,acc_p,acc_i,acc_d,pos_out,vel_out,acc_out,motor3_pwm,motor4_pwm
1.032,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1500,1500
1.033,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.000,-0.000,1.074,8.592,-0.553,1502,1502
1.043,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.001,0.000,1.074,8.592,-0.555,1504,1504
1.053,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.002,0.000,1.074,8.592,-0.556,1506,1506
1.063,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.003,0.000,1.074,8.592,-0.557,1506,1506
1.073,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.005,0.000,1.074,8.592,-0.558,1506,1506
1.083,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.006,0.000,1.074,8.592,-0.559,1506,1506
1.093,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.007,0.000,1.074,8.592,-0.560,1506,1506
1.103,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.008,0.000,1.074,8.592,-0.561,1506,1506
1.113,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.009,0.000,1.074,8.592,-0.562,1506,1506
1.123,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.010,0.000,1.074,8.592,-0.563,1506,1506
1.133,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.011,0.000,1.074,8.592,-0.565,1506,1506
1.143,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.012,0.000,1.074,8.592,-0.566,1506,1506
1.153,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.013,0.000,1.074,8.592,-0.567,1506,1506
1.163,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.014,0.000,1.074,8.592,-0.568,1506,1506
1.173,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.016,0.000,1.074,8.592,-0.569,1506,1506
1.183,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.017,0.000,1.074,8.592,-0.570,1506,1506
1.193,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.018,0.000,1.074,8.592,-0.571,1506,1506
1.203,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.019,0.000,1.074,8.592,-0.572,1506,1506
1.213,0.142,0.358,0.000,9.699,1.074,0.000,0.000,8.592,0.000,0.000,-0.553,-0.020,0.000,1.074,8.592,-0.573,1506,1506
1.223,0.147,0.353,0.000,9.699,1.059,0.000,-0.000,8.472,0.000,-0.000,-0.613,-0.021,-0.000,1.059,8.472,-0.635,1506,1506
1.233,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.022,0.000,1.059,8.472,-0.636,1506,1506
1.243,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.024,0.000,1.059,8.472,-0.637,1507,1507
1.253,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.025,0.000,1.059,8.472,-0.638,1507,1507
1.263,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.026,0.000,1.059,8.472,-0.640,1507,1507
1.273,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.027,0.000,1.059,8.472,-0.641,1507,1507
1.283,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.029,0.000,1.059,8.472,-0.642,1507,1507
1.293,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.030,0.000,1.059,8.472,-0.643,1507,1507
1.303,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.031,0.000,1.059,8.472,-0.644,1507,1507
1.313,0.147,0.353,0.000,9.699,1.059,0.000,0.000,8.472,0.000,0.000,-0.613,-0.032,0.000,1.059,8.472,-0.646,1507,1507
